id,product_name,ingredient_name,min_intake_value,max_intake_value,display_unit,created_at,updated_at
191,레몬버베나추출물 등 복합물,"베르바스코사이드, 시아니딘-3-O-삼부비오사이드 + 델피니딘-3-O-삼부비오사이드",500,500,mg,2026-01-15 17:00,2026-01-15 17:00
192,Lactiplantibacillus plantarum HAC01 프로바이오틱스,프로바이오틱스 수,4000000000,4000000000,CFU,2026-01-15 17:00,2026-01-15 17:00
193,두충우슬추출복합물,"피노레시놀 디글루코시드, 20-히드록시엑디손",500,500,mg,2026-01-15 17:00,2026-01-15 17:00
194,전호잎추출물,루테올린-7-O-글루코사이드,500,500,mg,2026-01-15 17:00,2026-01-15 17:00
195,파비플로라생강뿌리추출물,텍토크리신,100,100,mg,2026-01-15 17:00,2026-01-15 17:00
196,난각막분말,"하이드록시프롤린, 글리신과 프롤린의 합",600,600,mg,2026-01-15 17:00,2026-01-15 17:00
197,녹용당귀등 복합추출물,"우라실, 하이포잔틴, 데커신, 글리시리진산",500,1000,mg,2026-01-15 17:00,2026-01-15 17:00
198,영지버섯균사체추출분말,베타글루칸,200,200,mg,2026-01-15 17:00,2026-01-15 17:00
199,목천료추출분말,액티니딘,686,686,mg,2026-01-15 17:00,2026-01-15 17:00
200,산수유추출물등복합물,"로가닌, 4-히드록시 벤조 산",1600,1600,mg,2026-01-15 17:00,2026-01-15 17:00
201,유산균발효대두분말,소야사포닌 Ⅰ,1,1,g,2026-01-15 17:00,2026-01-15 17:00
202,참당귀황기추출복합물,"데커신, 오노닌",600,600,mg,2026-01-15 17:00,2026-01-15 17:00
203,유산균발효굴추출물,"감마-아미노부틸산, 타우린",500,500,mg,2026-01-15 17:00,2026-01-15 17:00
204,발효굴추출물,"감마 아미노부틸산, 타우린",1000,1000,mg,2026-01-15 17:00,2026-01-15 17:00
205,황칠나무잎·줄기추출물,루틴,600,600,mg,2026-01-15 17:00,2026-01-15 17:00
206,풋사과 농축분말,플로리진,1,1,g,2026-01-15 17:00,2026-01-15 17:00
207,락티카제이바실러스 람노서스 아이디씨씨3201 열처리배양건조물,"열처리배양균체수, 젖산",400,400,mg,2026-01-15 17:00,2026-01-15 17:00
208,Latilactobacillus curvatus LB-P9 프로바이오틱스,프로바이오틱스 수,5000000000,5000000000,CFU,2026-01-15 17:00,2026-01-15 17:00
209,마리골드꽃추출물,"루테인, 총 지아잔틴",12,12,mg,2026-01-15 17:00,2026-01-15 17:00
210,L. mucosae NK41과 B. longum NK46의 프로바이오틱스 복합물,프로바이오틱스 수,10000000000,10000000000,CFU,2026-01-15 17:00,2026-01-15 17:00
211,헛개나무과병·오미자박추출복합물,"미리세틴, 쉬잔드린",500,500,mg,2026-01-15 17:00,2026-01-15 17:00
212,프로폴리스망고스틴껍질복합물,"갈랑긴, 알파-망고스틴",388,388,mg,2026-01-15 17:00,2026-01-15 17:00
213,Lactilactobacillus curvatus LB-P9 프로바이오틱스,프로바이오틱스 수,5000000000,5000000000,CFU,2026-01-15 17:00,2026-01-15 17:00
214,덖음귤피추출분말,헤스페리딘,300,300,mg,2026-01-15 17:00,2026-01-15 17:00
215,라임과피추출물,비세닌-2,300,300,mg,2026-01-15 17:00,2026-01-15 17:00
216,저분자콜라겐펩타이드,알라닌-글리신-프롤린-알라닌,1000,3000,mg,2026-01-15 17:00,2026-01-15 17:00
217,오미자박추출물,쉬잔드린,1,1,g,2026-01-15 17:00,2026-01-15 17:00
218,작약추출물등복합물,"작약추출물,구아선복화추출물",700,700,mg,2026-01-15 17:00,2026-01-15 17:00
219,사군자추출분말,퀴스퀄릭산,1,2,g,2026-01-15 17:00,2026-01-15 17:00
220,단삼주정추출분말,단신수,600,600,mg,2026-01-15 17:00,2026-01-15 17:00
221,새싹보리추출물,사포나린,480,480,mg,2026-01-15 17:00,2026-01-15 17:00
222,다이크로스타키스 글로메라타 추출물,"미리세틴, 루테올린",400,400,mg,2026-01-15 17:00,2026-01-15 17:00
223,녹용효소분해추출물,"우라실, 하이포잔틴",480,480,mg,2026-01-15 17:00,2026-01-15 17:00
224,새싹인삼추출분말,진세노사이드 Re,450,450,mg,2026-01-15 17:00,2026-01-15 17:00
225,장미꽃잎추출물,이소퀘르시트린,300,300,mg,2026-01-15 17:00,2026-01-15 17:00
226,티아이소크라이시스루테아분말,도코사헥사엔산,900,900,mg,2026-01-15 17:00,2026-01-15 17:00
227,인디안구스베리·새싹보리추출복합물,"엘라그산,사포나린",1000,1000,mg,2026-01-15 17:00,2026-01-15 17:00
228,한삼덩굴추출분말,비텍신,700,700,mg,2026-01-15 17:00,2026-01-15 17:00
229,루테인지아잔틴추출복합물,"루테인, 총지아잔틴",12,30,mg,2026-01-15 17:00,2026-01-15 17:00
230,마그나스표고균사체추출물분말,베타글루칸,2,2,g,2026-01-15 17:00,2026-01-15 17:00
231,단삼주정추출분말,크립토탄시논,400,400,mg,2026-01-15 17:00,2026-01-15 17:00
232,B. breve IDCC 4401 열처리배양건조물,B. 브레베 IDCC 4401 열처리 배양균체수,20,200,mg,2026-01-15 17:00,2026-01-15 17:00
233,콘드로이친황산염,콘드로이친 황산나트륨,1200,1200,mg,2026-01-15 17:00,2026-01-15 17:00
234,피롤로퀴놀린퀴논이나트륨염,피롤로퀴놀린퀴논이나트륨염,22,22,mg,2026-01-15 17:00,2026-01-15 17:00
235,락토페린,락토페린,300,300,mg,2026-01-15 17:00,2026-01-15 17:00
236,Akkermansia muciniphila HB05 열처리배양건조물,아커만시아 뮤시니필라 HB05 열처리배양균체수,150,150,mg,2026-01-15 17:00,2026-01-15 17:00
237,Latilactobacillus saeki LB-P12 프로바이오틱스,프로바이오틱스 수,10000000000,10000000000,CFU,2026-01-15 17:00,2026-01-15 17:00
238,루테인지아잔틴복합추출물,"루테인, 총지아잔틴",12,24,mg,2026-01-15 17:00,2026-01-15 17:00
239,풋사과추출물 애플페논,총 폴리페놀,600,600,mg,2026-01-15 17:00,2026-01-15 17:00
240,키토올리고당,"키토올리고당,키토바이오스",750,750,mg,2026-01-15 17:00,2026-01-15 17:00
241,호로파종자추출물,비텍신,600,600,mg,2026-01-15 17:00,2026-01-15 17:00
242,오가피열매추출물,"클로로겐산, 엘레우테로사이드 E",2,2,g,2026-01-15 17:00,2026-01-15 17:00
